Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Please select your size,Size,Size,,group_514,Language: en
Please Selet a Size,Size,Size,,660eea88-0b4f-4350-ac50-fc0ea49119fe,Language: en
Pleasze Select a Size,Size,Size,,ec7dd3bd-b5e4-4bc5-8bcb-b4839251199d,Language: unknown
Pleated Cami Top Lime,Other,,,740c428a-a0f6-488a-824d-f2a67640d1f9,
Pleated Long Shorts (Pant),Other,,,9c5077b8-2d96-4871-88c9-ff7d3c196469,
Pleated Metallic Blazer Top (Size),Size,Size,,a2abfd77-88b9-4d8e-a979-b82c71d675be,Language: en
Pleated Peplum Pant (Size),Size,Size,,group_1259,Language: en
Pleated Peplum Top (Size),Size,Size,,group_1259,Language: en
Pleated Tissue A-line Blouse (Size),Size,Size,,50517e89-95ad-48b1-926e-660852b9d415,Language: en
Pleated Wide-Leg Pant (Size),Size,Size,,17464935-ebe4-4518-8caa-beaeadf83e34,Language: en
Pleat Palazzo (Bottom),Other,,,9a18d41a-7c1d-4a82-ad95-b4fa65223423,
Pleat Pant (Bottom),Other,,,group_1260,
Pleat Pant (Size),Size,Size,,group_1261,Language: unknown
Pleat Shirt (Size),Size,Size,,73059d27-47c8-4907-bd44-e507d000ce8f,Language: unknown
Plinth Finish,Other,,,a4e1431b-f570-4cd2-b897-4d02d445cfaf,
Plume Length,Size,Size,,266c8f9f-53cd-4fc5-83cb-032b26ad217e,Language: en
Plump Shot™ Collagen Peptides Advanced Plumping Blush (Color),Color,Color,,b58fcd7c-047a-4c2e-a0a6-59ea3531e730,Language: en
Plump Shot™ Lip Serum (Color),Color,Color,,a5b3ce7b-ed35-423c-aa69-befd6ea60396,Language: en
Plus Sign,Other,,,9f460587-eb7b-46e2-9914-ca03e8c741a3,
PMC Cotton Cap (Color),Color,Color,,e0de0619-d550-4cbb-bc41-210799d4ee00,Language: en
PM Days,Other,,,c1d9da85-8349-48dc-8aaa-11a6ccecc18c,
Pockets,Other,,,718d2031-8b59-4b35-a1d0-f21e4e388bd8,
Pocket Set Trousers Grand Hibiscus Cocoa/Lime Linen,Other,,,0864b3ad-1343-4da2-bbde-fa17af8188cd,
Pocket Wallet with Money Clip,Other,,,c4a0eae4-259b-46a5-9a33-193b7215ae4b,
Pod Combo Packs,Other,,,35a23242-332d-40fa-af9a-14b1843d8a14,
PODIUM PEE-WEE PURCHASE OPTIONS,Other,,,d3ea806d-a85d-4088-8090-d24e72186de3,
Pointelle Pant (Size),Size,Size,,d0e7c8ee-82bb-4380-bb29-2cedc20a8355,Language: unknown
Points,Other,,,bda8e06b-5acc-4fb2-811a-3bb072b8f3c8,
Pointure,Other,,,e1dfa88e-e299-4d89-812d-2b0f80770b53,
Pole Package,Other,,,399fb849-68cf-4ffb-a079-5b9514520fce,
Pole Set,Other,,,group_303,
Pole Size,Size,Size,,group_303,Language: unknown
Polish Color,Color,Color,,group_322,Language: en
Polish Set,Other,,,group_322,
Polish Type,Style,Style,,group_322,Language: en
Polo 1,Other,,,group_778,
Polo 2,Other,,,group_778,
Polo Color,Color,Color,,group_778,Language: unknown
Pom Color,Color,Color,,bc1268eb-7b40-4513-b4b3-d340e61c9ede,Language: unknown
Pompom Colors,Other,,,e56404fc-9e81-4373-973b-af3731091ec0,
Poncho Hoodie (Size),Size,Size,,bb92d4ae-4d73-4073-be01-e90661f84cbf,Language: unknown
Poncho Villa™ MK2 (Color),Color,Color,,1599c877-a76e-4720-a1d9-59cbbfe6af19,Language: unknown
Ponyback Beanie Fit Hot Pink (Size),Size,Size,,02e3efa7-344d-4094-b8d0-8c21459a944c,Language: unknown
Ponyback Everyday Fit Magenta (Size),Size,Size,,b0f0e89b-b417-4bc7-8366-b574e1425278,Language: en
Popper?,Other,,,24d96905-6117-4454-80ce-b5ce2d5d1188,
Poppy Ribbed Bandeau | Top (Size),Size,Size,,f20f4bea-4f78-4904-80ed-f5f3ddd4a003,Language: unknown
Poppy Ribbed Laced Bralette | Top (Size),Size,Size,,1b773535-c341-4e17-97c1-630bdf9b26b0,Language: en
