Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Size,Size,Size,,33aacb80-d315-4b71-b3de-b902d92a6d38,Language: de
Title,Other,Other,,group_1,Language: tr
Color,Color,Color,,group_2,Language: it
Style,Style,Style,,group_3,Language: fi
Material,Material,Material,,group_4,Language: ro
Colour,Color,Color,,group_5,Language: fr
SIZE,Size,Size,,f3c3c8d1-d207-480e-9577-b1591b8ac61f,Language: de
Finish,Style,Style,,group_6,Language: sq
size,Size,Size,,24ba35b7-c061-44a5-903e-bfe9292c683f,Language: lv
COLOR,Color,Color,,group_2,Language: en
Metal,Material,Material,,group_7,Language: id
Length,Size,Size,,group_8,Language: de
What would you like to order?,Other,,,015442a4-b6e4-45c2-a79d-ae0422805dd9,
Fabric type,Material,Material,,group_9,Language: en
Case Type,Style,Style,,group_10,Language: en
Product,Other,,,group_11,
Diamond Shape,Style,Style,,2eca6228-1f1f-464d-80d0-86f6d19c7414,Language: en
Type,Style,Style,,group_12,Language: no
Framing Options,Style,Style,,2ac6480b-331a-458e-9e43-a6c8bcef3189,Language: en
Couleur,Color,Color,,95491cc3-9e6a-4998-aa0a-f926aac9c13d,Language: fr
Sizes,Size,Size,,55263a6c-82c4-46cf-8b60-252f81ebae82,Language: de
Sheen,Style,Style,,072fd161-198c-414e-995d-cc6258ebcf72,Language: nl
Condition,Other,Other,,d46a2ae3-385a-45f7-ad2c-302601a19d2b,Language: en
Grandeur,Size,Size,,aa9d9643-12c7-44f2-9033-2b131122dd52,Language: de
Ships From,Other,Other,,group_13,Language: en
Gemstone,Material,Material,,group_14,Language: de
Width,Size,Size,,group_15,Language: de
color,Color,Color,,group_2,Language: it
Quantity,Quantity,Quantity,,group_16,Language: tl
Plant Size,Size,Size,,group_17,Language: de
"Size in EURO (Note - These shoes match the size chart, but if your feet are wide, it's best to choose a size larger)",Size,Size,,c712f69d-b53b-47b0-911f-f4e5200b21d9,Language: en
Sleeves,Other,,,1491acde-e2cd-4621-85cf-36ed9e5142a2,
Door Handing,Other,,,a7344c8a-1d4e-4638-a682-9facb92d6821,
Color Code,Color,Color,,group_18,Language: es
Wood Finish,Material,Material,,14ed7b3b-d6a8-47a9-9cec-3f11985a0c1d,Language: en
Inseam,Size,Size,,group_19,Language: en
Border Options,Style,Style,,b9f33aa2-d3d5-4117-9ae2-36109e46f005,Language: da
Canvas Size,Size,Size,,2bc28f45-7a0d-4fb2-96e3-a1be825c1aca,Language: lv
Texture,Style,Style,,96ba78af-bc02-46f4-8a37-efd48340f698,Language: ro
Art Size,Size,Size,,de4e196c-d50a-47f3-9c7b-030432554a94,Language: de
Weight,Other,Other,,group_20,Language: de
Select,Other,,,group_21,
Fabric,Material,Material,,group_9,Language: pt
FABRIC,Material,Material,,group_9,Language: de
Options,Other,Other,,group_22,Language: fr
DNU - 2XS-3XL,Other,,,d237a759-48a0-4188-9b51-67ae911bd823,
Function - Backset,Other,,,d27ff534-2506-4048-9e22-7d7d2fea3576,
Coverage,Other,,,2658c119-7050-4288-ad3f-ec400bbc96a7,
Option,Other,Other,,group_23,Language: en
Color1,Color,Color,,c1dcfb99-7e7b-49d2-b62c-ae78e13d29a8,Language: en
Nib Size,Size,Size,,18e81c4f-2d46-4c74-98e0-bd7431aac532,Language: de
Leg Height (in) | Leg Width (in),Size,Size,,e619b320-3593-41e5-a8ae-0ba715725d89,Language: de
old_id,Other,,,729fb130-7d0e-4d7f-b447-52e4574a3976,
Gemstone Type,Style,Style,,group_14,Language: no
Product Type,Style,Style,,group_11,Language: en
Backset,Other,,,26bbd804-7fec-4fb6-b2f0-5166356d4632,
Fit,Style,Style,,group_24,Language: de
Select Size,Other,Other,,group_21,Language: ro
Device,Other,,,group_25,
Ring Size,Size,Size,,group_26,Language: de
Shape,Style,Style,,group_27,Language: en
Metal Color,Color,Color,,group_7,Language: it
Case Details Color,Color,Color,,94857de1-4558-48eb-a2b3-3444974d6486,Language: en
Team,Other,Other,,group_28,Language: en
Taille,Size,Size,,group_29,Language: fi
Gold Color,Color,Color,,group_30,Language: en
CHAIN LENGTH,Hardware,Hardware,,group_31,Language: vi
Product Options,Other,,,5b756291-a1e2-432b-8f34-ef4a558b7889,
colour,Color,Color,,group_5,Language: fr
METAL,Material,Material,,group_7,Language: sw
Pack Size,Quantity,Quantity,,group_32,Language: de
Stone Size,Size,Size,,group_33,Language: de
Blazer Size,Size,Size,,da046dfb-05a9-4641-992b-74e0defeb432,Language: de
Clothing size,Size,Size,,group_34,Language: en
Model,Style,Style,,group_35,Language: ca
listing,Other,Other,,group_36,Language: et
Waist,Other,,,group_37,
color code,Color,Color,,group_18,Language: es
US Size,Size,Size,,group_38,Language: de
Details,Other,,,81cfac70-99b5-471e-843f-86b46c45a5e4,
Fragrance,Scent,Scent,,80b36460-5b95-4a85-93da-66b43dca79b8,Language: fr
Sofa Version,Other,,,1d80beda-27c7-4d9b-8845-654a06ddee70,
Orientation,Other,,,a73181d8-e4eb-41bd-9db6-5c95e6ac114c,
QUANTITY,Quantity,Quantity,,group_16,Language: vi
By Age,Other,,,group_39,
Frame Type,Style,Style,,group_40,Language: no
Composition,Material,Material,,571c7628-8587-4c70-bef7-0b17387594a2,Language: it
Color & Finish,Color,Color,,group_6,Language: en
Flavor,Scent,Scent,,group_41,Language: sl
Package,Other,,,34bed91b-42fd-4acc-ab67-ecc94c96f29c,
Season,Other,Other,,7ae386b6-1a79-43c4-a3db-14c539423247,Language: en
ARNE Collection,Other,,,16c67b37-4d2d-48a0-a706-4983e4b29eac,
Bundle size,Quantity,Quantity,,group_42,Language: de
WIDTH,Size,Size,,group_15,Language: sw
MATERIAL,Material,Material,,group_4,Language: sw
Frame Color,Color,Color,,group_40,Language: en
Height (in) | Width (in),Size,Size,,group_43,Language: de
Select Quantity,Quantity,Quantity,,449c35ce-da8d-4881-9870-9c47f1926331,Language: en
Carat Weight,Other,Other,,group_44,Language: en
Centre Stone Size,Size,Size,,c89fdfd0-eba0-4d69-9eea-cd91f0c93f99,Language: it
Flat Bar Metal Width (in) | Metal Thickness (in),Size,Size,,0f643537-3158-4526-8ccc-dd96d5ca4ba6,Language: en
Select Color,Other,Other,,group_45,Language: en
Stone,Material,Material,,group_33,Language: it
Emitting Color,Color,Color,,64b14282-c3d2-47a3-b359-7be3c3747fcb,Language: en
Amount,Quantity,Quantity,,group_46,Language: en
UK Size,Size,Size,,group_47,Language: de
Wall Width,Size,Size,,ae468f7d-0b7f-4a25-8567-e6840863541d,Language: en
Wallpaper Type,Style,Style,,3c7e9f7b-f755-4113-9591-48149c991c62,Language: no
Wall Height,Size,Size,,1cccbf71-0cd9-4474-9430-2363ba5b6a7e,Language: en
Size Chart,Size,Size,,e1ebd664-cdcc-4dc2-ac96-75abd8221466,Language: de
FINISH,Style,Style,,group_6,Language: de
fit,Style,Style,,group_24,Language: sq
Hardware Color,Color,Color,,group_48,Language: en
COLOUR,Color,Color,,group_5,Language: en
Status,Other,Other,,fe999e0d-5447-42bf-bc73-be1fb2bc0bb6,Language: et
BL,Other,,,d864d073-4bbf-48e3-a9af-4ad16c2675a4,
Größe,Size,Size,,3a6cb1c9-4b4a-433d-b62f-545a2a10cffa,Language: de
Frame,Other,Other,,group_40,Language: nl
Select Metal,Material,Material,,2c57c328-5dcf-498b-a8cf-ab081c2a3619,Language: en
Tube Diameter (in),Size,Size,,group_49,Language: de
Color | Chain Length,Other,Other,,group_31,Language: en
Configuration,Other,,,eda535f9-02b8-439b-8f23-d08a5640085e,
Denominations,Other,,,43625fbe-2fa5-4522-8aa3-1b5c12003eb5,
Edges,Other,,,2869fb2a-51de-4cfa-94a3-3e6e344fc313,
Rod Pocket(s),Other,,,999ec0f6-0b9e-4dc1-804f-5ac708b3ddca,
Trouser Size,Size,Size,,cbcca479-2482-468a-99ba-793c782f4ced,Language: en
Cushion,Other,,,group_50,
CHAIN TYPE,Hardware,Hardware,,group_51,Language: vi
Primary color,Color,Color,,group_52,Language: en
Scent,Scent,Scent,,group_53,Language: it
Height,Size,Size,,group_54,Language: de
Lens,Other,,,group_55,
Unit,Other,,,3f180544-b69c-468d-b0b1-47a0927de850,
Housing Finish,Other,,,8ab5173b-f328-4496-9251-04f048a0b205,
Sex,Other,,,e12b6d34-792c-4809-a04f-362de36becd9,
Monogram,Letter,Letter,,53ad64e7-157b-4f5b-adf6-187e50382157,Language: hr
Shade,Other,Other,,group_56,Language: so
Grind,Other,,,group_57,
Add-On,Other,Other,,708113ae-df90-4056-b7d6-cbc9181e2d21,Language: cy
Product Size,Size,Size,,group_11,Language: en
Size (US),Size,Size,,group_38,Language: de
Packaging Type,Other,Other,,group_58,Language: tl
DEPTH,Size,Size,,group_59,Language: de
Version,Style,Style,,964cb3f2-d46d-42d4-8f2d-a6a99b7f28bf,Language: de
item size,Other,Other,,group_60,Language: de
item colour,Other,Other,,group_61,Language: pt
Heel Height,Size,Size,,47304d44-1ad4-4365-a5b6-9438d55904ca,Language: nl
Colors,Color,Color,,group_62,Language: en
Product Color,Color,Color,,group_11,Language: en
Bottom,Other,,,group_63,
LEATHER,Material,Material,,group_64,Language: fr
Chain Length,Hardware,Hardware,,group_31,Language: en
Shoe size,Size,Size,,group_65,Language: sq
Optional Cup Holders,Other,,,0a91b143-31d3-4ac4-96bc-ead9e8ddbeb1,
Finish type,Style,Style,,e70b415c-a99c-4efc-85a3-2db583149966,Language: en
Rate,Other,,,aa899b9d-c6e8-4e7b-8cb4-55b57e410679,
Glass,Material,Material,,group_66,Language: it
Servings,Quantity,Quantity,,group_67,Language: no
Pack,Quantity,Quantity,,group_32,Language: pl
Size in EURO,Size,Size,,fe5950f6-0906-4ac5-9299-0c0c9d0fe1ca,Language: de
Overall Height,Size,Size,,f54f5d8b-6556-49bb-8a45-8f40dd02a58e,Language: en
Swing,Other,,,33a6156f-0b97-47cf-b48d-d94fa7440e17,
Choose a Pack:,Quantity,Quantity,,group_68,Language: en
Size - Clothing,Size,Size,,group_34,Language: en
Size - Tights,Size,Size,,group_69,Language: de
Taglia,Style,Style,,6e80cc47-8fca-4c8d-9db4-c969131fa6d5,Language: tl
Design,Style,Style,,group_70,Language: da
Lens Type,Other,Other,,group_71,Language: fr
Quality Level,Other,,,19fa26fc-c001-4efe-8860-a90bf5f2af83,
Term,Other,,,fa18efff-c6ae-4ab2-82ae-212dbee2bfc7,
Talla,Other,,,group_72,
Style #,Style,Style,,group_3,Language: no
Production Method,Style,Style,,f94bb1d6-ee9a-4081-9a84-b8967d030501,Language: en
Material/Color Name,Letter,Letter,Color,eac80e9e-a251-404c-8c94-5dd2bf8fe38a,Language: en
Board Model,Other,,,45c734e3-f007-4dcb-b1b6-5d8951906761,
Hand,Other,,,dfd9942b-9948-4fe0-8a39-e5d1169c8704,
COLOR GOLD,Color,Color,,group_30,Language: en
Upholstery,Material,Material,,group_73,Language: sv
Capacity,Other,,,7d438f45-3c35-4440-af7b-86b3041654ec,
Adult Sizes,Other,,,7e51fae3-9299-4152-af94-b6015a8cd83e,
Chain/Rope Length,Hardware,Hardware,,7779eb5c-4e5b-420d-ab7d-25550bee1996,Language: en
Stone Color,Color,Color,,group_33,Language: it
Purchase Type,Style,Style,,group_74,Language: en
Tube Diameter,Size,Size,,group_49,Language: de
Gold,Other,,,group_30,
Wattage,Other,,,group_75,
Prescription,Other,,,group_76,
Ring size,Size,Size,,group_26,Language: de
Body Color,Color,Color,,group_77,Language: en
Engraving Options,Style,Style,,98fb9370-42c8-4577-a3b0-578cd0338a53,Language: en
Diameter,Size,Size,,group_78,Language: af
Chains or Ropes,Other,,,group_79,
Moissanite Type,Style,Style,,4f480c03-37a2-474c-a30b-efbc227f9744,Language: fi
S-M-L,Other,,,67c20577-946a-4546-8f54-b4c8e4fb43de,
Variant,Other,,,group_80,
DIAMOND CLARITY,Other,,,b5916a5a-7ddc-42d9-96d6-14aed31b7b57,
SELECT CENTER DIAMOND SIZE ( CARAT ),Size,Size,,07c7a73c-3b81-48ea-a087-f18268f62f1c,Language: en
Count,Quantity,Quantity,,1717ef93-c006-4ecf-b6e1-fa5cbdc3f465,Language: en
Initial,Letter,Letter,,group_81,Language: en
Length (Inches),Size,Size,,group_82,Language: en
Fuel,Other,,,group_83,
Dimensions,Other,,,group_84,
Blade Size,Size,Size,,d83e22c7-53ee-4b12-82da-f1af4250642d,Language: de
Strength,Other,,,2034cab4-0e99-4795-80a6-e765472d47dd,
Hanging Style,Style,Style,,0f7a2932-dd76-417f-9c16-43d7154a0bf3,Language: tl
Package Quantity,Quantity,Quantity,,group_85,Language: en
Letter,Letter,Letter,,group_86,Language: no
Tailles,Size,Size,,6d716925-554a-429d-a89e-6e344678de62,Language: et
Skull Horn,Other,,,6f6d8474-39a5-4225-8af3-017f28be13bd,
Wallpaper by the Roll,Other,,,group_87,
Item Colour,Other,Other,,group_61,Language: en
Combined Color,Color,Color,,63610efd-92bb-4e60-b513-64912ce79c70,Language: en
STYLE,Style,Style,,group_3,Language: de
LENGTH,Size,Size,,group_8,Language: fr
Number of Blades,Quantity,Quantity,,daa2392d-672c-4e16-8a95-bca484502a87,Language: en
Lug Width (Lug-Buckle),Size,Size,,83b418f7-d25e-46eb-b486-0a78a50cb156,Language: de
Pricing Tiers,Other,,,b526d59c-bfcb-49ee-8bef-fb3a0fff833d,
Size Name,Size,Size,,group_88,Language: de
Accessories size,Size,Size,,group_89,Language: en
Color Gold,Color,Color,,group_30,Language: en
Ring type,Style,Style,,group_90,Language: en
Select Lens Option,Other,,,group_91,
CTTW,Other,,,5644d0c6-2dbc-4b46-9b6a-79c77c00be11,
Fuel Type,Style,Style,,group_83,Language: es
Size (Long End/Short End),Size,Size,,bd3dccc6-10a5-43ee-a3ea-07ec9d228521,Language: de
Engraving,Other,Other,,group_92,Language: no
CHAIN WIDTH,Size,Size,,e2619962-9975-4970-b946-ac3906fc00ef,Language: so
Origin,Other,Other,,93552acd-a763-461f-87dc-79728159b09a,Language: de
Size ,Size,Size,,c433b078-86a3-4b10-bb9c-52d724bd7148,Language: de
Grösse,Other,,,622ad41a-03e6-4abe-8988-26a31c6bce9a,
Setting,Other,,,47138491-fcea-4307-ba66-26e3808c3c82,
Bead Pattern,Style,Style,,135422dc-c048-4239-816d-985462b13165,Language: en
BRACELET LENGTH,Size,Size,,group_93,Language: de
Lot,Other,,,b3e3fbca-f794-45cd-88c8-5bbe620f1442,
Base,Other,,,group_94,
BRACELET WIDTH,Size,Size,,bb022d08-a1ad-4f63-a584-05b78a446337,Language: de
Cup Size,Size,Size,,group_95,Language: ro
Planter,Other,,,792aa5da-17e7-47fd-be80-e28049e8f986,
CHOOSE YOUR CANVAS SIZE (INCHES),Size,Size,,bbc16b2f-da6b-4ce6-a066-40f7ceb50625,Language: en
Select Width,Size,Size,,3cf359aa-a78f-4a36-bd38-1af3966a5dfa,Language: en
Serves,Other,,,06ec4c1f-35cf-4edc-bf52-dec5a2905c57,
Select a Sock Size,Quantity,Quantity,,aed08123-6969-456a-b246-4aab9cad1e42,Language: en
Necklace Length,Size,Size,,group_96,Language: en
Select Compression Strength,Quantity,Quantity,,24e5a0c5-6322-406e-89cb-c842bd5becc1,Language: en
Tamaño,Size,Size,,a8eae4e6-5c6e-4900-8b4e-233373539815,Language: sw
BEZEL TYPE,Style,Style,,group_97,Language: vi
TALLA,Other,,,group_72,
Liner,Other,,,a5f49fe1-b690-4a27-9234-3a6817709525,
Protective Clearcoat,Other,,,group_98,
Bracelet color,Color,Color,,0dceb775-dce7-4d09-adfc-2f321cc97555,Language: ro
Cushioning,Other,,,528e7693-72de-4e62-bec5-f68e11d4d7b9,
Hold Color,Color,Color,,97f56ba3-eb3a-4375-8058-c3ef10ec4774,Language: en
Band Size,Size,Size,,group_99,Language: de
Hook Size,Hardware,Hardware,,9581221c-4073-41ad-b1a4-30ea77691185,Language: nl
Lamping,Other,,,5598cc8b-7df0-4db0-aa8b-9fedb2c29519,
Width (mm),Size,Size,,471f4a47-64a1-4443-a258-ed74eb99d102,Language: en
BOTTOM COVERAGE,Other,,,ea6fefbc-7afd-4fb8-bf74-2238734a9280,
Single or Pair,Quantity,Quantity,,group_100,Language: en
Tops,Other,,,754fdcd5-8074-4133-8385-40d5fae47cf2,
Headboard Height,Size,Size,,862403d0-3004-4f4c-bc03-37e89de36e5d,Language: en
DIAMOND BEZEL CARAT,Other,,,f1a436b8-f413-4013-b0f0-242cb225c6c1,
Top Size,Size,Size,,group_101,Language: nl
Print,Other,,,group_102,
Core Colors,Other,,,d83a0ab3-cfef-4178-b8d5-dd41239b7ce4,
Storage,Other,,,group_103,
Tang Buckle,Hardware,Hardware,,57be55c7-04b1-4049-87d0-adca9728bfe7,Language: tl
Leg Type,Style,Style,,5f0193de-581c-4e92-8a02-b67fdd230d5b,Language: no
Available Colors,Other,,,f3600f4d-c326-4a92-9fb8-7c9339f29ac7,
Select Clasp,Hardware,Hardware,,group_104,Language: en
Sets,Other,,,4810cb49-c83c-42d4-883e-4be85723d3d1,
Length (cm),Size,Size,,78f26a9c-2b45-4b25-847c-37cb76f4bdca,Language: vi
Top,Other,,,group_101,
Container Size,Size,Size,,group_105,Language: de
Shoe Size,Size,Size,,group_65,Language: de
Power,Other,,,4b0ed75f-0fe1-4c98-86bf-0f4f88619360,
Set,Other,,,group_106,
Ground,Other,,,e11e2909-b419-4a9a-9ab7-cd86454973cb,
CHOOSE,Other,,,group_107,
Sleeve Length,Size,Size,,group_108,Language: nl
Fill,Other,,,76fb4979-4f7e-4673-8eb1-8625beb94435,
Rope Length + Color,Size,Size,Color,group_109,Language: en
This Size,Size,Size,,799c0957-0524-4453-be93-353f5f55ebfa,Language: en
Tier,Other,,,9d82c634-a780-4cdf-98f2-2e8c5a9f5657,
Ready to order for your project? Choose Box of 12 Below.,Other,,,group_110,
Shaft Flex,Other,,,3f57191b-d033-4860-aef8-39cd1b070339,
Arrival Date,Other,,,dd809ded-708a-4219-909e-db6406bfb2fb,
Size (Small Breed Under 10 lbs),Size,Size,,939b0145-daa2-44a0-aa63-c44890cb7ae0,Language: de
Density,Other,,,group_111,
HEIGHT,Size,Size,,group_54,Language: vi
Ready to order for your project?  Choose Box of 12 Below.,Other,,,group_110,
Nipple type,Style,Style,,86d51ed5-4511-45aa-a553-59643dcfa1d4,Language: no
Ignition,Other,,,group_112,
Size:,Size,Size,,0d92d3a9-a02a-4c01-8f6a-1b9374749de6,Language: de
Strap,Other,,,group_113,
Size Diameter,Size,Size,,group_78,Language: de
Needles,Other,,,bf061fc4-56a9-46c2-bc38-e11564c04a8d,
Select Chain,Hardware,Hardware,,c98fa311-38ce-43f3-b84b-f126f0e64224,Language: en
Prescription Type,Style,Style,,group_76,Language: en
Technology,Other,,,eb8a6449-10c4-434e-a9ea-d42d017c6ea3,
Harvest & Year,Other,,,0693a883-3305-41fb-99cc-d796428a3dbb,
Please Select a Size,Size,Size,,group_114,Language: en
Value,Other,,,abd46539-a744-4af5-bcbd-c2c8530834f4,
Graphic,Other,,,3fd2b4e1-8dd4-44c2-b6ce-6001d8e2e4d5,
Title ,Other,Other,,group_1,Language: tr
Burner Color,Color,Color,,group_115,Language: en
Bundle,Quantity,Quantity,,group_42,Language: de
Ring Size:,Size,Size,,group_26,Language: de
Pattern language,Style,Style,,14a66133-9d73-413c-b385-08cf2ed312ba,Language: id
Pot Color,Color,Color,,group_116,Language: en
Method,Other,,,07f4cf8a-c5ac-4da5-b04a-c545b5d8a241,
Choose Chain Length,Other,Other,Color,group_31,Language: en; Fuzzy match: color  chain length (score: 86)
Aproximate Size,Size,Size,,b7cf9978-4cc9-4ff5-8813-41ce66f1ae71,Language: ro
pewag Part Number,Quantity,Quantity,,2a8bd16c-1a09-4107-aade-0b45cae39abf,Language: id
Seams,Other,,,f07967db-07e5-4c4a-b32c-839edd0ea373,
Volume,Other,,,group_117,
Thickness,Other,,,24047510-d827-428c-b98f-78a826112c9e,
Metal Finish,Material,Material,,51396c8a-8530-4c93-b7f9-4499cc21f849,Language: de
Price,Other,,,group_118,
Bottom Size,Size,Size,,group_63,Language: it
Buckle,Hardware,Hardware,,group_119,Language: de
"Buy More, Save More",Other,Other,,group_120,Language: en
Pot,Other,,,group_116,
Purpose,Other,Other,,556689ec-c6ea-4275-a93f-0252038a3ccb,Language: lt
Magnification,Other,,,eb2a528e-3d36-4386-b08d-522edbf09d48,
Lights,Other,,,747654ab-1d67-4a2f-b37d-312a3150f771,
variant,Other,,,group_80,
Ink Volume,Other,,,85261519-c285-4df9-860a-0bff764f7ce5,
Qty,Other,,,ef639966-dc54-40d0-bc07-67e6930081bf,
Accent stones,Other,,,group_121,
Function,Other,Other,,ad043a65-2f58-4a70-8283-576a7e1b1ee4,Language: en
Choose Your Pack,Quantity,Quantity,,group_68,Language: en
Selection,Other,,,ae37df4f-b695-4400-b4ed-99a8c2d4c17f,
price,Other,,,group_118,
Coffee Units,Other,,,4c063de6-f82e-4100-8ea1-a288f93b2b26,
Box Condition,Other,,,62f34d2e-1478-4cb9-b157-17244f4df760,
title,Other,Other,,group_1,Language: en
Flex,Other,,,group_122,
METAL PURITY,Material,Material,,a86715df-e6c2-4407-9d26-38638b04ab8f,Language: ca
Cup and Wine Glass Holder,Other,,,2eee41c9-1a96-4528-a639-6c9ca728f77b,
Special Order Details,Other,,,13bfc99f-c99b-4717-95f1-3ad69eff1bc8,
T-Shirt Sizes,Other,,,c899423c-9027-4a85-ba00-37806f1594e2,
Name,Letter,Letter,,group_88,Language: de
SELECT LENGTH:,Size,Size,,group_123,Language: de
Default2,Other,,,c2fd14f1-e5dc-42fd-b6fc-b16cc6e8159e,
Emersed Growth,Other,,,fdd8f1de-2fb6-47a6-99f3-95fd98817d60,
Default1,Other,,,fbecd451-bdf0-4f2a-b87d-57a9843f8084,
Default3,Other,,,12f14cb3-e68c-4c51-aaf4-2b17464851f5,
Side stones,Other,,,group_124,
Screen,Other,,,group_125,
Personalisation options:,Other,,,group_126,
FRAME,Other,Other,,group_40,Language: de
Design Color,Color,Color,,group_70,Language: en
Women's Size,Size,Size,,group_127,Language: de
Color - Chain Length,Other,Other,,group_31,Language: en
Choose Size,Size,Size,,group_107,Language: nl
OPTION,Other,Other,,group_23,Language: pt
Annex Link,Other,,,20627572-dc5b-448e-a06d-805a0e5978c7,
Hanging Chains or Hanging Ropes,Other,,,group_79,
Gold Colors,Color,Color,,2ea1e156-5517-4295-a336-563624eae26d,Language: en
Hair Length,Hardware,Hardware,,7492e78e-19c1-4410-b46f-ccad08e33bd7,Language: en
Lens Tint,Color,Color,,group_128,Language: fr
Please select size...,Size,Size,,group_114,Language: ro
Disc Weight,Other,,,b8663adb-c952-47d3-bd6f-72abc68ef449,
Disc Color,Color,Color,,16079099-89b9-4bb0-a7bc-0c96c2ab464f,Language: ro
Handle,Other,,,group_129,
PRODUCT TYPE,Style,Style,,group_11,Language: vi
Feature,Other,Other,,941de9f7-746d-474c-a6b6-d1f0d1c01f9f,Language: ro
Side,Other,,,9cdf94a9-8413-48f8-9d5f-bc5b1b8dc22f,
BLANKET SIZE,Size,Size,,group_130,Language: de
Preorder options,Other,,,682a5c57-c144-46f4-a478-be16670437ff,
Font,Letter,Letter,,fb9a8a7e-1a45-4aaa-bb10-68e5ba6b39c9,Language: en
apparel sizes,Other,,,8e7afa15-5468-46d6-a4d0-20c4bae479f4,
Ring  Size:,Size,Size,,group_26,Language: de
Clasp Option,Hardware,Hardware,,group_104,Language: en
Finishing,Other,,,07b714bc-3f64-45ec-a838-5bae733366fc,
Pack (Can Be Different Designs),Quantity,Quantity,,c4a45700-ba66-4f8c-be38-97eee217f9b9,Language: de
Character,Other,,,7a31a836-d6e2-4a07-ba0a-f25f7361cdcf,
Gender,Other,,,c38e3bfe-5c85-479f-90e6-1c64fa03fa64,
Band,Other,,,group_99,
Format,Other,,,67627e95-c03c-4c7f-9eaa-3ae32d24f3d6,
ONE SIZE,Size,Size,,group_131,Language: de
Primary Color,Color,Color,,group_52,Language: en
Item Size,Other,Other,,group_60,Language: de
Lens Color,Color,Color,,group_55,Language: fr
Choose your stamp type,Style,Style,,31f50414-c744-4e07-a61a-cd0d7477d4a1,Language: en
Sleeve length,Size,Size,,group_108,Language: nl
Choose your ink color,Color,Color,,ee7f1d43-81c7-41ce-9f5f-8b5ec8e5ba60,Language: en
Kit,Other,,,group_132,
Wet or Dry,Other,,,1c848057-43e7-4d4e-b853-764153689950,
Cosmetic finish,Other,,,92900a09-e3bc-40d5-9bb2-7f2b26b0a659,
Apparel Size,Size,Size,,2f318a56-20a1-4e54-85fd-93a9f935f182,Language: it
Frame Finish,Other,,,a90d62f1-483c-4739-b2e7-d699bbacd7f8,
Layout,Other,,,de0ec2d9-91aa-4cc4-9615-c69650550fd9,
Birthstone,Other,,,group_133,
Underwear Size,Size,Size,,f08c4956-30a2-45db-8005-6710c9ab7dd3,Language: de
Size (Ring),Size,Size,,group_26,Language: de
Stamp & Weight Range,Other,,,2c126063-6bcd-4430-a898-367152661ec8,
Prescription Lens Type,Style,Style,,group_76,Language: fr
Pack of,Quantity,Quantity,,group_134,Language: en
Side white stones(M:moissanite/D:diamond),Color,Color,,367dfa8c-91a9-4469-b550-94ba16c02d27,Language: en
SIZE BOTTOM,Size,Size,,group_63,Language: de
Personalization here,Other,Other,,efe948d6-97f2-4540-a5f8-d612517e298a,Language: en
Ready to order for your project?  Choose Bundle of 12 below.,Quantity,Quantity,,group_110,Language: en
Gauge x Length,Size,Size,,group_135,Language: de
cls,Other,,,91809c9c-91aa-4f19-9036-178f738b5021,
Date,Other,,,0482c8a2-e8ad-4fb4-96fe-c7d05bca54e2,
Pack size,Quantity,Quantity,,group_32,Language: pl
Height (in) | Width at Bottom (in),Size,Size,,group_43,Language: en
Lens Material,Material,Material,,e3a5d4fc-7f70-46ce-b0fe-d5123688d454,Language: ca
Men Sizes,Other,,,6e6804e6-3003-451c-a8fe-55ce31bddfee,
Bracelet Size,Size,Size,,e84903a0-04d2-4861-b142-2ca4a1959d4d,Language: de
Bedding Size,Size,Size,,group_136,Language: de
Men's Size,Size,Size,,group_137,Language: de
finish,Style,Style,,group_6,Language: sq
Footwear Size,Size,Size,,cd497e44-f22f-4a1b-8808-2da08978b6c5,Language: en
Cup Style,Style,Style,,d8abcaca-fcad-4342-b584-1b6af97556ac,Language: en
Loft,Other,,,bc8cc68f-ba8c-4637-9f62-3c0db7fb1ef0,
Product Information,Other,,,f937ff78-7652-4c5a-921d-92f83d088e0e,
Cover Color,Color,Color,,group_138,Language: en
Waist Size,Size,Size,,group_37,Language: de
Spool Size,Size,Size,,group_139,Language: nl
One Size,Size,Size,,group_131,Language: de
Select Necklace Length,Size,Size,,group_96,Language: en
Length/Inseam,Other,,,0eff370a-2243-40e4-93b7-373fede555bb,
Color Description,Color,Color,,group_140,Language: en
SELECT PACK SIZE:,Size,Size,,group_32,Language: en
Choose a Pack,Quantity,Quantity,,group_68,Language: en
Ring type-Side stones(M:moissanite/D:diamond),Other,,,ffcab245-dd7b-46c6-9c45-1210ba743f19,
Conveyance,Other,,,1761148c-cc9c-4284-9dc4-d8fa195624b4,
Pot Diameter,Size,Size,,fc9c3484-29b5-42ec-bd38-2e4b6d142ecb,Language: af
Fabric Color,Color,Color,,group_9,Language: ro
weight,Other,Other,,group_20,Language: de
Ply,Other,,,d32419d7-b6e3-4e0a-9108-6a9c1362c55b,
Band Color,Color,Color,,group_99,Language: en
Gun Case,Other,,,c96e18c2-412d-49ac-aa46-724aba776e36,
SIZE TOP,Size,Size,,group_101,Language: en
Amount of Bulbs,Other,,,71a752fa-38e8-47ea-a584-25e5500d7afd,
KARAT,Other,,,group_141,
Item,Other,Other,,group_60,Language: en
